task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
3;-;52/aa9eee;43682;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK;samplesheet_test.csv;NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv);COMPLETED;0;-;quay.io/biocontainers/python:3.8.3;1;14400000;-;6442450944;1;1742930202028;1742930207104;1742930207108;5080;0;nf-core;87.3;0.0;10108928;33251328;10108928;33255424;688740;1954;246;17;0;12288;1;2;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/52/aa9eeed4685fa6253b3d35ec1d4df4;-;-
5;-;58/245d08;43683;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS;genome.fa;NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa);COMPLETED;0;-;quay.io/biocontainers/khmer:3.0.0a3--py37haa7609a_2;2;14400000;-;6442450944;1;1742930203565;1742930207114;1742930207118;3553;0;nf-core;456.6;0.0;11640832;18079744;11640832;18083840;16910160;3447;2470;23;0;16384;1;4;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/58/245d0876eecac49b37d3db19bf3ca6;-;-
4;-;32/270b79;43684;NFCORE_CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES;genome.fa;NFCORE_CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930203587;1742930207125;1742930207130;3543;0;nf-core;87.6;0.0;4960256;10948608;4960256;10948608;12495532;5511;434;20;0;12288;1;9;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/32/270b79759387b731a7fd94deb553a1;-;-
6;-;ed/91b807;43687;NFCORE_CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS;genome.fa.sizes;NFCORE_CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);COMPLETED;0;-;quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0;2;7200000;-;4294967296;1;1742930207504;1742930212106;1742930212108;4604;0;nf-core;133.3;0.0;2834432;11575296;2834432;11579392;44337;602;141;33;0;12288;2;0;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/ed/91b807e30f99749877f3ea161d41dd;-;-
1;-;bf/ebae8b;43686;NFCORE_CHIPSEQ:PREPARE_GENOME:GTF2BED;genes.gtf;NFCORE_CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);COMPLETED;0;-;quay.io/biocontainers/perl:5.26.2;2;14400000;-;6442450944;1;1742930204810;1742930207144;1742930212105;7295;0;nf-core;98.6;0.0;8601600;29589504;8601600;29593600;12237203;401932;1650;66;0;409600;1;3;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/bf/ebae8befc8d5a9c1a2e85f6d7e8e8c;-;-
2;-;c8/701279;43685;NFCORE_CHIPSEQ:PREPARE_GENOME:BWA_INDEX;genome.fa;NFCORE_CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa);COMPLETED;0;-;quay.io/biocontainers/bwa:0.7.18--he4a0461_0;1;14400000;-;6442450944;1;1742930203614;1742930207142;1742930217104;13490;9000;nf-core;100.3;0.2;133136384;136101888;133136384;136101888;49129188;33436212;1742;74;0;33472512;304;136;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/c8/701279a54919eaa2c645f95f2929d4;-;-
8;-;e0/da9264;43689;NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC;SPT5_INPUT_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0;2;21600000;-;6442450944;1;1742930210468;1742930212110;1742930217105;6637;4000;nf-core;190.3;0.5;400494592;16417419264;400494592;16418693120;20563481;3378316;26215;12276;0;3649536;4;5;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/e0/da9264901a6bc1003d2f6022785bc1;-;-
9;-;54/0fdd2d;43690;NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC;SPT5_INPUT_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0;2;21600000;-;6442450944;1;1742930212525;1742930217114;1742930222104;9579;5000;nf-core;203.4;0.6;466071552;16425807872;466071552;16479342592;20647796;3358979;26172;12247;0;3686400;4;20;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/54/0fdd2d0e78071dc0f83e51aaf2dceb;-;-
12;-;70/72ba83;43692;NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC;SPT5_T0_REP1_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SPT5_T0_REP1_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0;2;21600000;-;6442450944;1;1742930213544;1742930222106;1742930227105;13561;5000;nf-core;182.6;0.6;535937024;16425807872;536846336;16479342592;23074380;4179428;31112;14268;0;4505600;4;105;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/70/72ba83d5dd5882c135a90342628c09;-;-
14;-;73/4f4f7e;43695;NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC;SPT5_T0_REP2_T1;NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SPT5_T0_REP2_T1);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.12.1--hdfd78af_0;2;21600000;-;6442450944;1;1742930216473;1742930227107;1742930232116;15643;5000;nf-core;221.5;0.8;633139200;16417419264;633139200;16479342592;23155808;4180482;31191;14283;0;4509696;4;36;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/73/4f4f7e9a8f193db7e80acc628cc9d2;-;-
